titles,authors,urls
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/56E60BCBF3374462PQ/1?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/56E60BCBF3374462PQ/1?accountid=14553
"Diagnostic Value in Screening Severe Depression of the Hamilton Depression Rating Scale, Hamilton Anxiety Rating Scale,","Tung, Vu Son; Thong, Nguyen-Van; Mai, Nguyen-Thi Phuong; Linh, Le-Thi Thao; Son, Dang Cong; et al.",https://www.proquest.com/docview/2907509961/abstract/56E60BCBF3374462PQ/2?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/56E60BCBF3374462PQ/1?accountid=14553
"Diagnostic Value in Screening Severe Depression of the Hamilton Depression Rating Scale, Hamilton Anxiety Rating Scale,","Tung, Vu Son; Thong, Nguyen-Van; Mai, Nguyen-Thi Phuong; Linh, Le-Thi Thao; Son, Dang Cong; et al.",https://www.proquest.com/docview/2907509961/abstract/56E60BCBF3374462PQ/2?accountid=14553
Effects of kangaroo mother care on maternal and paternal health: systematic review and meta-analysis,"Pathak, Barsha Gadapani; Sinha, Bireshwar; Sharma, Neeraj; Mazumder, Sarmila; Bhandari, Nita.",https://www.proquest.com/docview/2821970266/abstract/56E60BCBF3374462PQ/3?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/56E60BCBF3374462PQ/1?accountid=14553
"Diagnostic Value in Screening Severe Depression of the Hamilton Depression Rating Scale, Hamilton Anxiety Rating Scale,","Tung, Vu Son; Thong, Nguyen-Van; Mai, Nguyen-Thi Phuong; Linh, Le-Thi Thao; Son, Dang Cong; et al.",https://www.proquest.com/docview/2907509961/abstract/56E60BCBF3374462PQ/2?accountid=14553
Effects of kangaroo mother care on maternal and paternal health: systematic review and meta-analysis,"Pathak, Barsha Gadapani; Sinha, Bireshwar; Sharma, Neeraj; Mazumder, Sarmila; Bhandari, Nita.",https://www.proquest.com/docview/2821970266/abstract/56E60BCBF3374462PQ/3?accountid=14553
Ketamine and Treatment Resistant Depression : Researching Psychologists’ Perceptions Regarding the Use of Ketamine,"Pittera, Bianca.",https://www.proquest.com/docview/3046408077/abstract/56E60BCBF3374462PQ/4?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/56E60BCBF3374462PQ/1?accountid=14553
"Diagnostic Value in Screening Severe Depression of the Hamilton Depression Rating Scale, Hamilton Anxiety Rating Scale,","Tung, Vu Son; Thong, Nguyen-Van; Mai, Nguyen-Thi Phuong; Linh, Le-Thi Thao; Son, Dang Cong; et al.",https://www.proquest.com/docview/2907509961/abstract/56E60BCBF3374462PQ/2?accountid=14553
Effects of kangaroo mother care on maternal and paternal health: systematic review and meta-analysis,"Pathak, Barsha Gadapani; Sinha, Bireshwar; Sharma, Neeraj; Mazumder, Sarmila; Bhandari, Nita.",https://www.proquest.com/docview/2821970266/abstract/56E60BCBF3374462PQ/3?accountid=14553
Ketamine and Treatment Resistant Depression : Researching Psychologists’ Perceptions Regarding the Use of Ketamine,"Pittera, Bianca.",https://www.proquest.com/docview/3046408077/abstract/56E60BCBF3374462PQ/4?accountid=14553
Exploration of Associations Between Asthma and Depression in Older American Adults: A Pooled Cross-sectional Analysis of Medicare,"Ring, Brian.",https://www.proquest.com/docview/3066257658/abstract/56E60BCBF3374462PQ/5?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/56E60BCBF3374462PQ/1?accountid=14553
"Diagnostic Value in Screening Severe Depression of the Hamilton Depression Rating Scale, Hamilton Anxiety Rating Scale,","Tung, Vu Son; Thong, Nguyen-Van; Mai, Nguyen-Thi Phuong; Linh, Le-Thi Thao; Son, Dang Cong; et al.",https://www.proquest.com/docview/2907509961/abstract/56E60BCBF3374462PQ/2?accountid=14553
Effects of kangaroo mother care on maternal and paternal health: systematic review and meta-analysis,"Pathak, Barsha Gadapani; Sinha, Bireshwar; Sharma, Neeraj; Mazumder, Sarmila; Bhandari, Nita.",https://www.proquest.com/docview/2821970266/abstract/56E60BCBF3374462PQ/3?accountid=14553
Ketamine and Treatment Resistant Depression : Researching Psychologists’ Perceptions Regarding the Use of Ketamine,"Pittera, Bianca.",https://www.proquest.com/docview/3046408077/abstract/56E60BCBF3374462PQ/4?accountid=14553
Exploration of Associations Between Asthma and Depression in Older American Adults: A Pooled Cross-sectional Analysis of Medicare,"Ring, Brian.",https://www.proquest.com/docview/3066257658/abstract/56E60BCBF3374462PQ/5?accountid=14553
Implementation of a Postpartum Depression Screening and Mental Health Resource Guideline in the Neonatal Intensive Care Unit,"Martineau, Caroline Hayes.",https://www.proquest.com/docview/3056942154/abstract/56E60BCBF3374462PQ/6?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/56E60BCBF3374462PQ/1?accountid=14553
"Diagnostic Value in Screening Severe Depression of the Hamilton Depression Rating Scale, Hamilton Anxiety Rating Scale,","Tung, Vu Son; Thong, Nguyen-Van; Mai, Nguyen-Thi Phuong; Linh, Le-Thi Thao; Son, Dang Cong; et al.",https://www.proquest.com/docview/2907509961/abstract/56E60BCBF3374462PQ/2?accountid=14553
Effects of kangaroo mother care on maternal and paternal health: systematic review and meta-analysis,"Pathak, Barsha Gadapani; Sinha, Bireshwar; Sharma, Neeraj; Mazumder, Sarmila; Bhandari, Nita.",https://www.proquest.com/docview/2821970266/abstract/56E60BCBF3374462PQ/3?accountid=14553
Ketamine and Treatment Resistant Depression : Researching Psychologists’ Perceptions Regarding the Use of Ketamine,"Pittera, Bianca.",https://www.proquest.com/docview/3046408077/abstract/56E60BCBF3374462PQ/4?accountid=14553
Exploration of Associations Between Asthma and Depression in Older American Adults: A Pooled Cross-sectional Analysis of Medicare,"Ring, Brian.",https://www.proquest.com/docview/3066257658/abstract/56E60BCBF3374462PQ/5?accountid=14553
Implementation of a Postpartum Depression Screening and Mental Health Resource Guideline in the Neonatal Intensive Care Unit,"Martineau, Caroline Hayes.",https://www.proquest.com/docview/3056942154/abstract/56E60BCBF3374462PQ/6?accountid=14553
Familism as a Moderating Variable in the Relationship Between Exposure to Potentially Traumatic Events and Symptoms,"Favila-De La Trinidad, Iliana.",https://www.proquest.com/docview/3064951289/abstract/56E60BCBF3374462PQ/7?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/56E60BCBF3374462PQ/1?accountid=14553
