titles,authors,urls
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/9E5C8D1B7994F37PQ/1?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/9E5C8D1B7994F37PQ/1?accountid=14553
"Diagnostic Value in Screening Severe Depression of the Hamilton Depression Rating Scale, Hamilton Anxiety Rating Scale, Beck Depression Inventory Scale, and Zung's Self-Rating Anxiety Scale","Tung, Vu Son; Thong, Nguyen-Van; Mai, Nguyen-Thi Phuong; Linh, Le-Thi Thao; Son, Dang Cong; et al.",https://www.proquest.com/docview/2907509961/abstract/9E5C8D1B7994F37PQ/2?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/9E5C8D1B7994F37PQ/1?accountid=14553
"Diagnostic Value in Screening Severe Depression of the Hamilton Depression Rating Scale, Hamilton Anxiety Rating Scale, Beck Depression Inventory Scale, and Zung's Self-Rating Anxiety Scale","Tung, Vu Son; Thong, Nguyen-Van; Mai, Nguyen-Thi Phuong; Linh, Le-Thi Thao; Son, Dang Cong; et al.",https://www.proquest.com/docview/2907509961/abstract/9E5C8D1B7994F37PQ/2?accountid=14553
Ketamine and Treatment Resistant Depression: Researching Psychologists’ Perceptions Regarding the Use of Ketamine for Treatment Resistant Depression,"Pittera, Bianca.",https://www.proquest.com/docview/3046408077/abstract/9E5C8D1B7994F37PQ/3?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/9E5C8D1B7994F37PQ/1?accountid=14553
"Diagnostic Value in Screening Severe Depression of the Hamilton Depression Rating Scale, Hamilton Anxiety Rating Scale, Beck Depression Inventory Scale, and Zung's Self-Rating Anxiety Scale","Tung, Vu Son; Thong, Nguyen-Van; Mai, Nguyen-Thi Phuong; Linh, Le-Thi Thao; Son, Dang Cong; et al.",https://www.proquest.com/docview/2907509961/abstract/9E5C8D1B7994F37PQ/2?accountid=14553
Ketamine and Treatment Resistant Depression: Researching Psychologists’ Perceptions Regarding the Use of Ketamine for Treatment Resistant Depression,"Pittera, Bianca.",https://www.proquest.com/docview/3046408077/abstract/9E5C8D1B7994F37PQ/3?accountid=14553
Preventing Depression Study: Persuade Preventing Depression in the Community Through Non-Traditional Providers-A Feasibility Study and Qualitative Process Evaluation,"Safari, Mel.",https://www.proquest.com/docview/3073250543/abstract/9E5C8D1B7994F37PQ/4?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/9E5C8D1B7994F37PQ/1?accountid=14553
"Diagnostic Value in Screening Severe Depression of the Hamilton Depression Rating Scale, Hamilton Anxiety Rating Scale, Beck Depression Inventory Scale, and Zung's Self-Rating Anxiety Scale","Tung, Vu Son; Thong, Nguyen-Van; Mai, Nguyen-Thi Phuong; Linh, Le-Thi Thao; Son, Dang Cong; et al.",https://www.proquest.com/docview/2907509961/abstract/9E5C8D1B7994F37PQ/2?accountid=14553
Ketamine and Treatment Resistant Depression: Researching Psychologists’ Perceptions Regarding the Use of Ketamine for Treatment Resistant Depression,"Pittera, Bianca.",https://www.proquest.com/docview/3046408077/abstract/9E5C8D1B7994F37PQ/3?accountid=14553
Preventing Depression Study: Persuade Preventing Depression in the Community Through Non-Traditional Providers-A Feasibility Study and Qualitative Process Evaluation,"Safari, Mel.",https://www.proquest.com/docview/3073250543/abstract/9E5C8D1B7994F37PQ/4?accountid=14553
Improving Adolescent Depression Screening and Documentation Compliance at a Pediatric Primary Care Clinic,"Clifton, Kellie.",https://www.proquest.com/docview/3056838089/abstract/9E5C8D1B7994F37PQ/5?accountid=14553
Rasch analysis of the Hospital Anxiety and Depression Scale (HADS) in patients with major depression,"Xiao-Jie, Huang; Hai-Yan, Ma; Wang, Xue-Mei; Zhong, Jing; Yu-Qi, Chen; et al.",https://www.proquest.com/docview/2868236312/abstract/9E5C8D1B7994F37PQ/1?accountid=14553
"Diagnostic Value in Screening Severe Depression of the Hamilton Depression Rating Scale, Hamilton Anxiety Rating Scale, Beck Depression Inventory Scale, and Zung's Self-Rating Anxiety Scale","Tung, Vu Son; Thong, Nguyen-Van; Mai, Nguyen-Thi Phuong; Linh, Le-Thi Thao; Son, Dang Cong; et al.",https://www.proquest.com/docview/2907509961/abstract/9E5C8D1B7994F37PQ/2?accountid=14553
Ketamine and Treatment Resistant Depression: Researching Psychologists’ Perceptions Regarding the Use of Ketamine for Treatment Resistant Depression,"Pittera, Bianca.",https://www.proquest.com/docview/3046408077/abstract/9E5C8D1B7994F37PQ/3?accountid=14553
Preventing Depression Study: Persuade Preventing Depression in the Community Through Non-Traditional Providers-A Feasibility Study and Qualitative Process Evaluation,"Safari, Mel.",https://www.proquest.com/docview/3073250543/abstract/9E5C8D1B7994F37PQ/4?accountid=14553
Improving Adolescent Depression Screening and Documentation Compliance at a Pediatric Primary Care Clinic,"Clifton, Kellie.",https://www.proquest.com/docview/3056838089/abstract/9E5C8D1B7994F37PQ/5?accountid=14553
